symbol,valid_from,valid_to
ACC,2015-01-01,2017-09-28
AMBUJACEM,2015-01-01,2018-04-01
ASIANPAINT,2015-01-01,2025-12-31
AXISBANK,2015-01-01,2025-12-31
BAJAJ-AUTO,2015-01-01,2025-12-31
BANKBARODA,2015-01-01,2017-09-28
BHARTIARTL,2015-01-01,2025-12-31
BHEL,2015-01-01,2017-03-30
BPCL,2015-01-01,2025-03-27
CAIRN,2015-01-01,2016-03-31
CIPLA,2015-01-01,2025-12-31
COALINDIA,2015-01-01,2025-12-31
DLF,2015-01-01,2015-03-26
DRREDDY,2015-01-01,2025-12-31
GAIL,2015-01-01,2021-03-30
GRASIM,2015-01-01,2017-05-25
HCLTECH,2015-01-01,2025-12-31
HDFC,2015-01-01,2023-07-12
HDFCBANK,2015-01-01,2025-12-31
HEROMOTOCO,2015-01-01,2025-09-29
HINDALCO,2015-01-01,2025-12-31
HINDUNILVR,2015-01-01,2025-12-31
ICICIBANK,2015-01-01,2025-12-31
IDFC,2015-01-01,2015-05-28
INDUSINDBK,2015-01-01,2025-09-29
INFY,2015-01-01,2025-12-31
ITC,2015-01-01,2025-12-31
JINDALSTEL,2015-01-01,2015-03-26
KOTAKBANK,2015-01-01,2025-12-31
LT,2015-01-01,2025-12-31
LUPIN,2015-01-01,2018-09-27
M&M,2015-01-01,2025-12-31
MARUTI,2015-01-01,2025-12-31
NMDC,2015-01-01,2015-09-27
NTPC,2015-01-01,2025-12-31
ONGC,2015-01-01,2025-12-31
PNB,2015-01-01,2016-03-31
POWERGRID,2015-01-01,2025-12-31
RELIANCE,2015-01-01,2025-12-31
SBIN,2015-01-01,2025-12-31
SUNPHARMA,2015-01-01,2025-12-31
TATAMOTORS,2015-01-01,2025-12-31
TATAPOWER,2015-01-01,2017-09-28
TATASTEEL,2015-01-01,2025-12-31
TCS,2015-01-01,2025-12-31
TECHM,2015-01-01,2025-12-31
ULTRACEMCO,2015-01-01,2025-12-31
VEDL,2015-01-01,2016-03-31
WIPRO,2015-01-01,2025-12-31
ZEEL,2015-01-01,2020-09-24
IDEA,2015-03-27,2017-03-30
YESBANK,2015-03-27,2020-03-18
BOSCHLTD,2015-05-29,2018-04-01
ADANIPORTS,2015-09-28,2025-12-31
AUROPHARMA,2016-04-01,2018-04-01
EICHERMOT,2016-04-01,2025-12-31
INFRATEL,2016-04-01,2020-09-24
IBULHSGFIN,2017-03-31,2019-09-26
IOC,2017-03-31,2022-03-30
VEDL,2017-05-26,2020-07-30
BAJFINANCE,2017-09-29,2025-12-31
HINDPETRO,2017-09-29,2019-03-28
UPL,2017-09-29,2024-03-27
BAJAJFINSV,2018-04-02,2025-12-31
GRASIM,2018-04-02,2025-12-31
TITAN,2018-04-02,2025-12-31
JSWSTEEL,2018-09-28,2025-12-31
BRITANNIA,2019-03-29,2025-03-27
NESTLEIND,2019-09-27,2025-12-31
SHREECEM,2020-03-19,2022-09-29
HDFCLIFE,2020-07-31,2025-12-31
DIVISLAB,2020-09-25,2024-09-29
SBILIFE,2020-09-25,2025-12-31
TATACONSUM,2021-03-31,2025-12-31
APOLLOHOSP,2022-03-31,2025-12-31
ADANIENT,2022-09-30,2025-12-31
LTIM,2023-07-13,2024-09-29
SHRIRAMFIN,2024-03-28,2025-12-31
BEL,2024-09-30,2025-12-31
TRENT,2024-09-30,2025-12-31
ETERNAL,2025-03-28,2025-12-31
JIOFIN,2025-03-28,2025-12-31
INDIGO,2025-09-30,2025-12-31
MAXHEALTH,2025-09-30,2025-12-31
