effective_date,index,action,historical_symbol,normalized_symbol,source,validation_status,notes
2015-03-27,NIFTY50,ADD,IDEA,IDEA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-03-27,NIFTY50,ADD,YESBANK,YESBANK,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-03-27,NIFTY50,REMOVE,DLF,DLF,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-03-27,NIFTY50,REMOVE,JINDALSTEL,JINDALSTEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-05-29,NIFTY50,ADD,BOSCHLTD,BOSCHLTD,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-05-29,NIFTY50,REMOVE,IDFC,IDFC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-09-28,NIFTY50,ADD,ADANIPORTS,ADANIPORTS,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2015-09-28,NIFTY50,REMOVE,NMDC,NMDC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,ADD,AUROPHARMA,AUROPHARMA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,ADD,BHARTIINFRATEL,INFRATEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,ADD,EICHERMOT,EICHERMOT,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,REMOVE,CAIRN,CAIRN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,REMOVE,PNB,PNB,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2016-04-01,NIFTY50,REMOVE,VEDL,VEDL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-03-31,NIFTY50,ADD,IBULHSGFIN,IBULHSGFIN,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-03-31,NIFTY50,ADD,IOC,IOC,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-03-31,NIFTY50,REMOVE,BHEL,BHEL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-03-31,NIFTY50,REMOVE,IDEA,IDEA,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-05-26,NIFTY50,ADD,VEDL,VEDL,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
2017-05-26,NIFTY50,REMOVE,GRASIM,GRASIM,Historical NIFTY 50 constituent-change record; cross-checked,validated_secondary,
