index,as_of_date,symbol,source,validation_status
NIFTY50,2015-03-26,ACC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,AMBUJACEM,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,ASIANPAINT,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,AXISBANK,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,BAJAJ-AUTO,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,BANKBARODA,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,BHARTIARTL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,BHEL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,BPCL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,CAIRN,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,CIPLA,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,COALINDIA,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,DLF,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,DRREDDY,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,GAIL,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,GRASIM,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HCLTECH,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HDFC,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HDFCBANK,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HEROMOTOCO,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HINDALCO,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
NIFTY50,2015-03-26,HINDUNILVR,Historical reconstruction from NIFTY 50 constituent chain,reconstructed_pending_NSE_validation
